% Sierra SPYHIS Output Mon Dec 23 11:57:07 2024
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
 2.25022e-03,  2.21083e-16,  1.08608e-06,  1.34245e-05,  4.58790e-05,  1.23550e-04,  2.57886e-04,  4.74818e-04,  7.55055e-04,  1.54114e-03,  7.56514e-04,  8.95102e-03,  4.03427e-02,  4.03427e-02,  2.26588e-06,  1.07950e-05,  3.15246e-05,  6.59737e-05,  1.18728e-04,  1.99467e-04,  3.23658e-04,  4.51968e-04,  6.84199e-04,  1.59095e-03,  2.75050e-02,  0.00000e+00,  0.00000e+00,  2.89873e-03,  2.04499e-02,  6.12050e-02,  1.28443e-01,  2.30272e-01,  3.87896e-01,  5.66822e-01,  1.23028e+00,  8.73950e-01,  2.16875e+00,  3.36734e+01,  0.00000e+00,  0.00000e+00,  4.48299e+06,  3.62343e+05,  4.11422e+06, -1.75188e+05,  2.01429e+06
 2.50127e-03,  2.90715e-16,  1.00909e-06,  2.22491e-05,  7.52089e-05,  1.96706e-04,  4.04664e-04,  7.48939e-04,  1.06520e-03,  3.08438e-03,  4.27325e-04,  1.70974e-02,  5.90506e-02,  5.90506e-02,  3.04431e-06,  1.68461e-05,  4.97329e-05,  1.04155e-04,  1.86624e-04,  3.17452e-04,  4.56696e-04,  9.46959e-04,  2.74491e-04,  4.47728e-04,  3.62552e-02,  0.00000e+00,  0.00000e+00,  3.54134e-03,  2.80643e-02,  8.44032e-02,  1.76744e-01,  3.11180e-01,  5.64774e-01,  4.59631e-01,  2.84758e+00,  4.39005e+00,  9.01977e+00,  3.58296e+01,  0.00000e+00,  0.00000e+00,  7.39303e+06,  6.45201e+05,  6.73904e+06, -3.17988e+05,  2.01603e+06
 2.75045e-03,  2.81085e-16,  1.59824e-06,  3.40795e-05,  1.14082e-04,  2.92986e-04,  5.97925e-04,  1.08430e-03,  1.67794e-03,  4.90704e-03,  2.22199e-03,  2.89226e-02,  8.21651e-02,  8.21651e-02,  3.96945e-06,  2.48873e-05,  7.39569e-05,  1.54764e-04,  2.74667e-04,  4.83445e-04,  5.53591e-04,  1.82576e-03,  1.41128e-03,  2.92766e-03,  4.53208e-02,  0.00000e+00,  0.00000e+00,  4.15495e-03,  3.66852e-02,  1.10249e-01,  2.30007e-01,  3.99573e-01,  7.49221e-01,  5.70551e-01,  3.97499e+00,  6.86309e+00,  1.66228e+01,  3.68265e+01,  0.00000e+00,  0.00000e+00,  1.13531e+07,  1.05953e+06,  1.02822e+07, -5.28046e+05,  2.02750e+06
 3.00124e-03,  2.51768e-16,  2.83663e-06,  4.85765e-05,  1.64379e-04,  4.12859e-04,  8.83471e-04,  1.37157e-03,  3.17161e-03,  6.13692e-03,  4.11539e-03,  4.50783e-02,  1.10283e-01,  1.10283e-01,  5.04114e-06,  3.51734e-05,  1.04772e-04,  2.18449e-04,  3.92390e-04,  6.56458e-04,  8.34325e-04,  2.64229e-03,  3.10316e-03,  8.03990e-03,  5.45928e-02,  0.00000e+00,  0.00000e+00,  4.76054e-03,  4.53614e-02,  1.36068e-01,  2.75361e-01,  5.69598e-01,  5.36754e-01,  2.16961e+00,  2.53466e+00,  6.45127e+00,  2.42828e+01,  3.71110e+01,  0.00000e+00,  0.00000e+00,  1.65720e+07,  1.64184e+06,  1.49160e+07, -8.23438e+05,  2.10237e+06
 3.25004e-03,  2.89554e-16,  3.54030e-06,  6.49587e-05,  2.30065e-04,  5.53414e-04,  1.31312e-03,  1.56945e-03,  5.75362e-03,  6.11695e-03,  5.36688e-03,  6.56581e-02,  1.43210e-01,  1.43210e-01,  6.20907e-06,  4.73439e-05,  1.40800e-04,  2.89748e-04,  5.69113e-04,  6.92220e-04,  1.72582e-03,  2.73428e-03,  4.34700e-03,  1.49633e-02,  6.38092e-02,  0.00000e+00,  0.00000e+00,  7.87883e-03,  5.59348e-02,  1.54278e-01,  2.97497e-01,  8.57919e-01,  2.59029e-01,  5.02670e+00,  2.66964e+00,  3.43620e+00,  3.13508e+01,  3.70894e+01,  0.00000e+00,  0.00000e+00,  2.31056e+07,  2.41294e+06,  2.06755e+07, -1.21408e+06,  2.28632e+06
 3.50028e-03,  3.04779e-16,  3.25164e-06,  9.03378e-05,  3.03674e-04,  7.91026e-04,  1.70382e-03,  2.18505e-03,  8.93873e-03,  4.59629e-03,  5.24670e-03,  9.11205e-02,  1.81557e-01,  1.81557e-01,  7.73817e-06,  6.28405e-05,  1.79095e-04,  3.73545e-04,  7.88579e-04,  6.30503e-04,  3.20064e-03,  1.99803e-03,  4.52473e-03,  2.36251e-02,  7.30691e-02,  0.00000e+00,  0.00000e+00,  1.77273e-02,  8.23445e-02,  1.57613e-01,  4.36295e-01,  8.27217e-01,  6.33486e-01,  6.42078e+00,  5.98122e+00,  2.34008e+00,  3.78337e+01,  3.71206e+01,  0.00000e+00,  0.00000e+00,  3.11515e+07,  3.41026e+06,  2.77211e+07, -1.71808e+06,  2.61705e+06
 3.75012e-03,  3.44410e-16,  6.61457e-06,  1.31523e-04,  3.66050e-04,  1.26260e-03,  1.68071e-03,  3.93640e-03,  1.18911e-02,  1.72646e-03,  3.04072e-03,  1.21394e-01,  2.25203e-01,  2.25203e-01,  1.02254e-05,  8.77388e-05,  2.15749e-04,  5.19214e-04,  8.81827e-04,  1.00753e-03,  4.66048e-03,  1.39069e-03,  3.19258e-03,  3.37814e-02,  8.23322e-02,  0.00000e+00,  0.00000e+00,  1.45054e-02,  1.29446e-01,  1.55139e-01,  7.80183e-01,  5.78206e-01,  3.24772e+00,  5.22391e+00,  8.09279e+00,  8.70255e+00,  4.34388e+01,  3.72907e+01,  0.00000e+00,  0.00000e+00,  4.07454e+07,  4.65162e+06,  3.60708e+07, -2.34383e+06,  3.12939e+06
 4.00124e-03,  3.18887e-16,  1.10099e-05,  1.38066e-04,  5.31179e-04,  1.76491e-03,  1.44036e-03,  7.01436e-03,  1.38248e-02,  2.25293e-03,  2.03727e-03,  1.56757e-01,  2.74552e-01,  2.74552e-01,  9.58143e-06,  1.25339e-04,  2.74476e-04,  7.34080e-04,  7.56538e-04,  2.21938e-03,  5.54000e-03,  2.67573e-03,  7.39701e-04,  4.52797e-02,  9.16907e-02,  0.00000e+00,  0.00000e+00,  5.12519e-02,  1.94642e-01,  5.03009e-01,  9.46409e-01,  6.84324e-01,  6.26802e+00,  2.67759e+00,  8.17090e+00,  1.58936e+01,  4.82095e+01,  3.75624e+01,  0.00000e+00,  0.00000e+00,  5.20176e+07,  6.16598e+06,  4.58259e+07, -3.10577e+06,  3.86594e+06
 4.25003e-03,  2.82477e-16,  4.45243e-05,  6.06880e-05,  9.92765e-04,  1.75344e-03,  1.73974e-03,  1.10349e-02,  1.41582e-02,  6.47221e-03,  1.02311e-02,  1.96698e-01,  3.28903e-01,  3.28903e-01,  2.56815e-05,  1.54207e-04,  4.45580e-04,  8.71126e-04,  6.79186e-04,  3.98728e-03,  5.51159e-03,  4.29463e-03,  4.60014e-03,  5.77446e-02,  1.01019e-01,  0.00000e+00,  0.00000e+00,  1.53595e-01,  5.66707e-02,  9.50940e-01,  8.65232e-01,  1.41030e+00,  7.71189e+00,  3.42852e+00,  6.36009e+00,  2.29841e+01,  5.21755e+01,  3.77872e+01,  0.00000e+00,  0.00000e+00,  6.48205e+07,  7.94361e+06,  5.68487e+07, -3.99883e+06,  4.84949e+06
 4.50164e-03,  2.12284e-16,  2.75491e-05,  1.14273e-04,  1.55357e-03,  1.14590e-03,  3.22557e-03,  1.53940e-02,  1.26492e-02,  1.04894e-02,  2.23225e-02,  2.42104e-01,  3.89403e-01,  3.89403e-01,  5.47281e-05,  1.44781e-04,  6.76302e-04,  8.08191e-04,  1.20616e-03,  5.86807e-03,  4.59819e-03,  5.34050e-03,  1.11965e-02,  7.12440e-02,  1.10468e-01,  0.00000e+00,  0.00000e+00,  5.26989e-02,  7.11725e-01,  9.59032e-01,  9.63331e-01,  3.72840e+00,  7.16477e+00,  6.44005e+00,  3.00256e+00,  2.97880e+01,  5.54358e+01,  3.77115e+01,  0.00000e+00,  0.00000e+00,  7.94133e+07,  1.00300e+07,  6.93528e+07, -5.04527e+06,  6.13994e+06
