% Sierra SPYHIS Output Thu Jan  9 09:14:08 2025
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  4.11743e-25,  4.11743e-25,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 1.00217e-04,  4.08273e-33,  2.12129e-72,  1.13428e-65,  3.34126e-59,  5.44589e-53,  4.84402e-47,  2.27204e-41,  5.21178e-36,  4.52801e-31,  7.26484e-27,  1.24221e-21,  3.59842e-15,  3.59842e-15,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  7.10543e-15,  0.00000e+00,  3.60977e-71,  1.31163e-65,  6.86787e-59,  1.88163e-52,  2.73047e-46,  2.07239e-40,  7.86659e-35,  1.38121e-29,  1.37873e-24,  4.62515e-19,  5.99138e-15,  1.67231e-09,  0.00000e+00,  6.12460e-16,  2.08834e-22,  5.71030e-16,  3.68594e-28,  2.14619e+06
 2.00140e-04,  2.14088e-28,  1.29456e-50,  1.00898e-45,  4.49463e-41,  1.12489e-36,  1.23619e-28,  1.91290e-20,  4.48334e-16,  1.45875e-15,  2.58497e-15,  8.93687e-15,  1.39397e-09,  1.39397e-09,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00, -3.33067e-16,  8.88178e-16,  4.88498e-15,  1.53211e-14,  2.75555e-09,  0.00000e+00,  1.34604e-48,  4.26249e-45,  8.69407e-40,  3.59234e-35, -2.61556e-30, -2.70797e-21,  4.30972e-12,  3.01355e-10,  6.20912e-10,  4.55666e-10,  1.05560e-09,  1.90432e-04,  0.00000e+00,  7.54102e-06,  3.13231e-11,  7.40486e-06, -6.11964e-17,  2.14619e+06
 3.00063e-04,  2.46266e-26,  1.87089e-15,  2.54803e-14,  9.04146e-14,  2.17173e-13,  4.35197e-13,  7.53294e-13,  1.17952e-12,  1.69615e-12,  2.38480e-12,  3.56798e-12,  1.84493e-07,  1.84493e-07,  1.77636e-15,  1.48770e-14,  5.28466e-14,  1.14797e-13,  2.04503e-13,  3.15969e-13,  4.51195e-13,  6.13953e-13,  8.29337e-13,  1.12133e-12,  2.10898e-12,  3.64683e-07,  0.00000e+00, -2.92698e-11,  5.48270e-10,  2.14995e-09,  4.48842e-09,  7.15666e-09,  1.23612e-08,  1.66077e-08,  2.33869e-08,  3.09495e-08,  4.12821e-08,  7.43820e-08,  1.25811e-02,  0.00000e+00,  3.26023e-02,  5.48581e-07,  3.23242e-02, -1.31610e-11,  2.14619e+06
 4.00280e-04,  3.44346e-25,  3.67647e-14,  4.95397e-13,  1.79653e-12,  4.32940e-12,  8.45410e-12,  1.43675e-11,  2.21552e-11,  3.13073e-11,  4.25770e-11,  6.18632e-11,  2.80532e-06,  2.80532e-06,  2.59792e-14,  2.89102e-13,  1.05160e-12,  2.30127e-12,  4.00369e-12,  6.05627e-12,  8.37619e-12,  1.10609e-11,  1.45950e-11,  1.92761e-11,  3.46732e-11,  5.54458e-06,  0.00000e+00,  6.12080e-10,  6.43591e-09,  2.44219e-08,  5.21970e-08,  9.08849e-08,  1.37064e-07,  1.87651e-07,  2.45615e-07,  3.24402e-07,  4.30441e-07,  7.70870e-07,  1.18457e-01,  0.00000e+00,  2.88132e+00,  1.26807e-04,  2.86653e+00, -9.59311e-09,  2.14619e+06
 5.00203e-04,  9.90762e-20,  2.33732e-13,  3.24803e-12,  1.16043e-11,  2.79859e-11,  5.43700e-11,  9.19145e-11,  1.41197e-10,  1.98691e-10,  2.66075e-10,  3.86129e-10,  1.66806e-05,  1.66806e-05,  1.57208e-13,  1.85563e-12,  6.83276e-12,  1.50016e-11,  2.59857e-11,  3.89659e-11,  5.33327e-11,  6.96354e-11,  9.23823e-11,  1.24999e-10,  2.28645e-10,  3.29623e-05,  0.00000e+00,  2.66905e-09,  2.84775e-08,  1.05929e-07,  2.31751e-07,  4.01870e-07,  6.00559e-07,  8.17470e-07,  1.06337e-06,  1.41682e-06,  1.96053e-06,  3.68421e-06,  4.90865e-01,  0.00000e+00,  4.94231e+01,  4.48169e-03,  4.92483e+01, -7.32150e-07,  2.14619e+06
 6.00126e-04,  2.15309e-17,  9.04128e-13,  1.23847e-11,  4.38493e-11,  1.05773e-10,  2.05014e-10,  3.45878e-10,  5.30581e-10,  7.45785e-10,  9.89299e-10,  1.44548e-09,  6.05076e-05,  6.05076e-05,  6.24167e-13,  7.02816e-12,  2.59579e-11,  5.70290e-11,  9.85059e-11,  1.46972e-10,  1.99968e-10,  2.59598e-10,  3.46541e-10,  4.87876e-10,  9.52500e-10,  1.19536e-04,  0.00000e+00,  8.25406e-09,  8.31135e-08,  2.96274e-07,  6.58249e-07,  1.13270e-06,  1.68579e-06,  2.28407e-06,  2.95040e-06,  3.95938e-06,  5.77253e-06,  1.20785e-05,  1.33396e+00,  0.00000e+00,  3.64980e+02,  5.89392e-02,  3.64002e+02, -1.72577e-05,  2.14619e+06
 7.00049e-04,  8.24505e-17,  2.58504e-12,  3.44656e-11,  1.21426e-10,  2.92900e-10,  5.67039e-10,  9.55596e-10,  1.46472e-09,  2.05833e-09,  2.71421e-09,  4.00318e-09,  1.62796e-04,  1.62796e-04,  1.91003e-12,  1.96252e-11,  7.22398e-11,  1.58491e-10,  2.72900e-10,  4.05671e-10,  5.49711e-10,  7.10968e-10,  9.52069e-10,  1.39852e-09,  3.00603e-09,  3.21495e-04,  0.00000e+00,  3.62607e-08,  1.77591e-07,  6.56569e-07,  1.43807e-06,  2.46910e-06,  3.65560e-06,  4.93768e-06,  6.36165e-06,  8.53710e-06,  1.31217e-05,  3.13412e-05,  2.82384e+00,  0.00000e+00,  1.63656e+03,  4.26345e-01,  1.63297e+03, -1.99966e-04,  2.14619e+06
 8.00266e-04,  4.97902e-19,  6.21700e-12,  7.86451e-11,  2.76086e-10,  6.65764e-10,  1.28787e-09,  2.16870e-09,  3.32202e-09,  4.66812e-09,  6.13512e-09,  9.13576e-09,  3.60562e-04,  3.60562e-04,  5.24691e-12,  4.55451e-11,  1.65193e-10,  3.60989e-10,  6.19552e-10,  9.18116e-10,  1.24002e-09,  1.59909e-09,  2.14281e-09,  3.27858e-09,  7.82834e-09,  7.11713e-04,  0.00000e+00,  4.24691e-08,  3.52763e-07,  1.23796e-06,  2.68661e-06,  4.58750e-06,  6.77036e-06,  9.10982e-06,  1.16997e-05,  1.56740e-05,  2.52728e-05,  6.83891e-05,  5.09437e+00,  0.00000e+00,  5.33275e+03,  2.08944e+00,  5.32240e+03, -1.45679e-03,  2.14619e+06
