% Sierra SPYHIS Output Thu Jan  9 09:15:09 2025
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
 9.00020e-04,  1.24421e-16,  9.26628e-11,  9.21998e-10,  2.91353e-09,  6.51216e-09,  1.01505e-08,  1.68523e-08,  2.83635e-08,  3.64265e-08,  5.13224e-08,  6.78682e-08,  6.93526e-04,  6.93526e-04,  6.75395e-11,  3.49810e-10,  1.10217e-09,  2.20507e-09,  3.56779e-09,  5.16000e-09,  7.04196e-09,  8.69489e-09,  1.03944e-08,  1.49756e-08,  4.21107e-08,  1.02201e-03,  0.00000e+00,  4.50162e-07,  2.24962e-06,  6.87457e-06,  1.36537e-05,  2.20331e-05,  3.19295e-05,  4.36442e-05,  5.38629e-05,  6.36300e-05,  9.67785e-05,  2.62127e-04,  6.12439e+00,  0.00000e+00,  1.41958e+04,  9.14755e+00,  1.41524e+04, -1.22789e-02,  2.14451e+06
 1.00015e-03,  1.28798e-16,  1.46645e-10,  1.60482e-09,  5.12824e-09,  1.14714e-08,  1.79238e-08,  2.98369e-08,  5.01706e-08,  6.44803e-08,  9.11328e-08,  1.20837e-07,  1.20890e-03,  1.20890e-03,  1.27844e-10,  6.41048e-10,  1.97368e-09,  3.92716e-09,  6.34573e-09,  9.18733e-09,  1.25469e-08,  1.54905e-08,  1.84019e-08,  2.75001e-08,  7.40107e-08,  1.78032e-03,  0.00000e+00,  8.10829e-07,  3.64007e-06,  1.07035e-05,  2.10629e-05,  3.39654e-05,  4.92583e-05,  6.73246e-05,  8.31228e-05,  9.78400e-05,  1.56952e-04,  3.75722e-04,  9.11776e+00,  0.00000e+00,  3.15254e+04,  2.77595e+01,  3.14336e+04, -5.08207e-02,  2.14452e+06
 1.10027e-03,  1.63396e-16,  2.32048e-10,  2.61227e-09,  8.39550e-09,  1.87870e-08,  2.94539e-08,  4.91362e-08,  8.24943e-08,  1.06156e-07,  1.50431e-07,  1.99264e-07,  1.95174e-03,  1.95174e-03,  2.33991e-10,  1.10038e-09,  3.29219e-09,  6.50549e-09,  1.05023e-08,  1.52177e-08,  2.07831e-08,  2.56612e-08,  3.03863e-08,  4.72785e-08,  1.16741e-07,  2.87204e-03,  0.00000e+00,  1.41129e-06,  5.63650e-06,  1.58400e-05,  3.08121e-05,  4.96617e-05,  7.20589e-05,  9.83502e-05,  1.21470e-04,  1.43455e-04,  2.42805e-04,  4.75080e-04,  1.27800e+01,  0.00000e+00,  6.20908e+04,  7.22482e+01,  6.19105e+04, -1.73967e-01,  2.14453e+06
 1.20040e-03,  9.46321e-17,  3.68473e-10,  4.02755e-09,  1.29861e-08,  2.90736e-08,  4.57727e-08,  7.64868e-08,  1.28159e-07,  1.65209e-07,  2.34585e-07,  3.09320e-07,  2.96806e-03,  2.96806e-03,  4.19411e-10,  1.79761e-09,  5.20268e-09,  1.01958e-08,  1.64480e-08,  2.38449e-08,  3.25410e-08,  4.01879e-08,  4.76291e-08,  7.72045e-08,  1.66755e-07,  4.36367e-03,  0.00000e+00,  2.44240e-06,  8.42893e-06,  2.25809e-05,  4.33367e-05,  6.97966e-05,  1.01259e-04,  1.37834e-04,  1.70354e-04,  2.03429e-04,  3.60760e-04,  5.23829e-04,  1.70993e+01,  0.00000e+00,  1.11489e+05,  1.66795e+02,  1.11154e+05, -5.13315e-01,  2.14457e+06
 1.30052e-03,  3.04645e-16,  6.07431e-10,  5.97220e-09,  1.92251e-08,  4.30322e-08,  6.80568e-08,  1.13863e-07,  1.90333e-07,  2.45915e-07,  3.49622e-07,  4.57410e-07,  4.30303e-03,  4.30303e-03,  7.37894e-10,  2.82639e-09,  7.88378e-09,  1.53019e-08,  2.46660e-08,  3.57622e-08,  4.87291e-08,  6.02110e-08,  7.17593e-08,  1.20791e-07,  2.15744e-07,  6.31989e-03,  0.00000e+00,  4.13192e-06,  1.23089e-05,  3.13035e-05,  5.91777e-05,  9.51750e-05,  1.37951e-04,  1.87065e-04,  2.31569e-04,  2.81788e-04,  5.16558e-04,  5.11303e-04,  2.20524e+01,  0.00000e+00,  1.86096e+05,  3.49894e+02,  1.85499e+05, -1.34461e+00,  2.14464e+06
 1.40009e-03,  1.50915e-16,  1.01792e-09,  8.56578e-09,  2.74114e-08,  6.13050e-08,  9.74232e-08,  1.63175e-07,  2.72034e-07,  3.52364e-07,  5.01252e-07,  6.48913e-07,  5.98988e-03,  5.98988e-03,  1.26681e-09,  4.30307e-09,  1.15352e-08,  2.21455e-08,  3.56596e-08,  5.16832e-08,  7.02640e-08,  8.69042e-08,  1.04646e-07,  1.81667e-07,  2.50884e-07,  8.78729e-03,  0.00000e+00,  6.78449e-06,  1.76045e-05,  4.24412e-05,  7.88938e-05,  1.26597e-04,  1.83188e-04,  2.47300e-04,  3.06949e-04,  3.82830e-04,  7.13358e-04,  6.82862e-04,  2.75765e+01,  0.00000e+00,  2.92196e+05,  6.76509e+02,  2.91173e+05, -3.18095e+00,  2.14476e+06
 1.50022e-03,  3.26486e-16,  1.71336e-09,  1.20211e-08,  3.80475e-08,  8.49557e-08,  1.35696e-07,  2.27499e-07,  3.78154e-07,  4.91115e-07,  6.98540e-07,  8.92714e-07,  8.08922e-03,  8.08922e-03,  2.12903e-09,  6.41142e-09,  1.64743e-08,  3.12389e-08,  5.02277e-08,  7.27394e-08,  9.86168e-08,  1.22166e-07,  1.49246e-07,  2.64882e-07,  2.67331e-07,  1.18518e-02,  0.00000e+00,  1.08516e-05,  2.48435e-05,  5.67167e-05,  1.03479e-04,  1.65534e-04,  2.39001e-04,  3.21249e-04,  4.00344e-04,  5.13002e-04,  9.56201e-04,  1.43616e-03,  3.36980e+01,  0.00000e+00,  4.38354e+05,  1.23080e+03,  4.36657e+05, -6.97505e+00,  2.14497e+06
 1.60034e-03,  1.83384e-16,  2.84372e-09,  1.65741e-08,  5.15817e-08,  1.14871e-07,  1.84434e-07,  3.09415e-07,  5.12708e-07,  6.67755e-07,  9.48927e-07,  1.19485e-06,  1.06326e-02,  1.06326e-02,  3.48736e-09,  9.36633e-09,  2.30292e-08,  4.30725e-08,  6.91205e-08,  9.99790e-08,  1.35149e-07,  1.67820e-07,  2.08533e-07,  3.74753e-07,  3.39788e-07,  1.55560e-02,  0.00000e+00,  1.68388e-05,  3.46064e-05,  7.48284e-05,  1.33769e-04,  2.13181e-04,  3.06966e-04,  4.11129e-04,  5.15222e-04,  6.77034e-04,  1.24570e-03,  2.84840e-03,  4.03493e+01,  0.00000e+00,  6.31765e+05,  2.12074e+03,  6.29038e+05, -1.42854e+01,  2.14530e+06
 1.70047e-03,  3.65903e-16,  4.61505e-09,  2.25640e-08,  6.85996e-08,  1.52157e-07,  2.45564e-07,  4.12088e-07,  6.80585e-07,  8.89170e-07,  1.26141e-06,  1.56261e-06,  1.36580e-02,  1.36580e-02,  5.56682e-09,  1.34561e-08,  3.16263e-08,  5.82708e-08,  9.32857e-08,  1.34718e-07,  1.81595e-07,  2.26232e-07,  2.86142e-07,  5.15990e-07,  6.51938e-07,  1.99509e-02,  0.00000e+00,  2.54190e-05,  4.76284e-05,  9.76447e-05,  1.70845e-04,  2.71076e-04,  3.89114e-04,  5.19807e-04,  6.55919e-04,  8.79685e-04,  1.58251e-03,  5.11046e-03,  4.74905e+01,  0.00000e+00,  8.80270e+05,  3.48898e+03,  8.76012e+05, -2.76023e+01,  2.14581e+06
 1.80004e-03,  1.74263e-16,  7.28741e-09,  3.04217e-08,  8.97007e-08,  1.97810e-07,  3.20811e-07,  5.38322e-07,  8.85990e-07,  1.16142e-06,  1.64348e-06,  2.00113e-06,  1.71799e-02,  1.71799e-02,  8.64576e-09,  1.90133e-08,  4.27176e-08,  7.74555e-08,  1.23648e-07,  1.78222e-07,  2.39635e-07,  2.99758e-07,  3.85538e-07,  6.92252e-07,  1.28587e-06,  2.50524e-02,  0.00000e+00,  3.73251e-05,  6.46749e-05,  1.26038e-04,  2.15712e-04,  3.40593e-04,  4.87215e-04,  6.49725e-04,  8.25986e-04,  1.12383e-03,  1.96469e-03,  8.50173e-03,  5.50377e+01,  0.00000e+00,  1.18982e+06,  5.50275e+03,  1.18336e+06, -5.05564e+01,  2.14657e+06
 1.90017e-03,  3.86081e-16,  1.12490e-08,  4.08769e-08,  1.16027e-07,  2.53833e-07,  4.13510e-07,  6.93527e-07,  1.13729e-06,  1.49615e-06,  2.10999e-06,  2.52378e-06,  2.12712e-02,  2.12712e-02,  1.31451e-08,  2.65629e-08,  5.70596e-08,  1.01718e-07,  1.61846e-07,  2.32757e-07,  3.12288e-07,  3.92477e-07,  5.12324e-07,  9.10273e-07,  2.35301e-06,  3.09600e-02,  0.00000e+00,  5.36755e-05,  8.69819e-05,  1.61531e-04,  2.70365e-04,  4.24517e-04,  6.05041e-04,  8.05921e-04,  1.03187e-03,  1.41633e-03,  2.39701e-03,  1.34545e-02,  6.30346e+01,  0.00000e+00,  1.57163e+06,  8.40650e+03,  1.56207e+06, -8.89485e+01,  2.14765e+06
 2.00029e-03,  1.40103e-16,  1.69536e-08,  5.47706e-08,  1.48654e-07,  3.21797e-07,  5.26178e-07,  8.81615e-07,  1.44028e-06,  1.90165e-06,  2.67050e-06,  3.13793e-06,  2.59451e-02,  2.59451e-02,  1.95466e-08,  3.66580e-08,  7.53661e-08,  1.32006e-07,  2.09249e-07,  3.00182e-07,  4.02024e-07,  5.07758e-07,  6.70935e-07,  1.17404e-06,  4.02074e-06,  3.76855e-02,  0.00000e+00,  7.55771e-05,  1.15720e-04,  2.05451e-04,  3.36345e-04,  5.24789e-04,  7.45139e-04,  9.91640e-04,  1.27738e-03,  1.76010e-03,  2.87876e-03,  2.04542e-02,  7.13999e+01,  0.00000e+00,  2.03182e+06,  1.24603e+04,  2.01798e+06, -1.50604e+02,  2.14917e+06
