% Sierra SPYHIS Output Thu Jan  9 09:15:09 2025
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
 4.00002e-03, -1.19739e-16, -2.55685e-17,  2.66479e-16, -3.76685e-12,  6.01921e-12, -3.79921e-12,  8.88179e-08,  1.53521e-07, -2.85299e-07,  4.14234e-19,  5.30972e-20,  2.49369e-02,  3.69510e-16,  2.80312e-17,  1.88556e+01, -1.32425e-12,  2.66725e-12,  7.99048e+03
 4.25033e-03, -2.19714e-16,  2.09939e-16,  5.99030e-17, -4.04974e-15,  4.63012e-13, -4.16520e-12,  2.19909e-07,  4.97474e-08, -1.26811e-07,  5.08063e-19,  6.16295e-20,  2.99078e-02,  5.23105e-16,  6.96217e-18,  2.08575e+01,  4.46356e-12,  5.49535e-12,  7.99464e+03
 4.50009e-03, -1.34316e-16,  8.85605e-18, -4.77732e-17,  6.48159e-12, -2.92389e-12, -2.26815e-12, -2.29953e-07,  5.63144e-08,  1.23091e-07,  5.98565e-19,  6.74667e-20,  3.53665e-02,  4.08210e-16,  8.91787e-17,  2.28486e+01,  1.16930e-11,  7.58934e-12,  7.94027e+03
 4.75040e-03,  1.77121e-16, -1.40527e-16,  7.41459e-17,  3.12047e-12, -1.54580e-12,  3.54868e-12, -3.95039e-07,  2.66455e-08,  5.99062e-08,  6.87166e-19,  6.71170e-20,  4.13340e-02,  2.48872e-16, -2.78663e-17,  2.48232e+01,  8.33169e-12,  9.35402e-12,  7.82604e+03
 5.00015e-03,  1.98022e-16, -1.80114e-16,  2.24511e-16, -3.46556e-12,  3.26943e-12,  7.74799e-12, -1.68716e-07,  1.95160e-07, -4.91579e-07,  7.65611e-19,  6.42775e-20,  4.77766e-02, -2.36327e-18, -1.53001e-16,  2.67571e+01,  9.29108e-12,  2.20079e-12,  7.65001e+03
 5.25046e-03,  1.49575e-16, -6.65206e-17,  3.94057e-16, -6.80042e-12,  4.94436e-12,  1.63422e-12, -1.77911e-07, -8.04713e-08, -3.68982e-07,  8.29229e-19,  5.05038e-20,  5.47119e-02,  1.29040e-16, -1.60667e-16,  2.86431e+01, -8.12874e-12, -5.33808e-12,  7.40698e+03
 5.50020e-03, -2.71459e-17,  1.63989e-16,  3.68436e-16, -6.24288e-12,  1.16298e-13, -6.44754e-12, -2.22250e-08, -1.74265e-07, -2.41390e-07,  8.64689e-19,  2.09006e-20,  6.20940e-02,  3.93097e-16, -1.07319e-16,  3.04555e+01, -2.76797e-12, -2.12781e-12,  7.09346e+03
 5.75051e-03, -1.99300e-16,  1.67020e-17,  3.69719e-17, -3.78672e-12, -1.25367e-12, -7.52614e-12,  7.07003e-08, -6.15209e-08,  8.77164e-08,  8.69025e-19, -2.21002e-20,  6.99359e-02,  7.31192e-17, -1.62186e-16,  3.21837e+01,  1.12386e-11,  3.95366e-12,  6.70000e+03
 6.00025e-03, -2.18013e-16, -9.97709e-17, -2.87059e-16, -1.03478e-13, -4.19504e-12, -2.05667e-12,  2.10170e-07, -3.00150e-08,  2.20961e-07,  8.64338e-19, -8.11654e-20,  7.81782e-02, -4.62602e-16, -2.84055e-16,  3.37992e+01,  1.85207e-11,  1.03180e-11,  6.22042e+03
 6.25055e-03, -1.96277e-16, -2.29571e-16, -8.14363e-17,  5.22888e-12, -6.52558e-12,  8.38916e-12,  9.15773e-08,  3.17450e-07,  8.78156e-08,  8.37646e-19, -1.55325e-19,  8.68276e-02, -4.52390e-16, -4.41859e-16,  3.52861e+01, -5.88537e-13, -4.81460e-12,  5.64153e+03
 6.50029e-03,  9.68520e-17, -3.43188e-16,  4.56361e-16,  5.00795e-12,  3.25869e-12,  3.89118e-12, -3.44297e-07,  3.50287e-07, -3.10481e-06,  7.83006e-19, -2.53103e-19,  9.58094e-02, -1.28646e-16, -5.08266e-16,  3.66120e+01, -2.13965e-11,  2.01494e-11,  4.95557e+03
 6.75003e-03,  2.71635e-16,  3.30242e-17,  2.63351e-16, -3.54783e-12,  8.37537e-12, -6.43704e-12, -3.79033e-07, -4.53382e-08, -2.98297e-07,  6.84475e-19, -3.75009e-19,  1.05100e-01, -9.64409e-17, -5.27118e-16,  3.77520e+01, -6.63527e-13,  6.14716e-12,  4.15283e+03
 7.00032e-03, -8.85175e-17,  2.47001e-16, -3.06848e-17, -6.90287e-12,  3.81326e-12, -5.25820e-12, -2.32189e-08, -2.45057e-07,  2.98655e-07,  5.59126e-19, -5.24582e-19,  1.14670e-01, -7.44678e-16, -5.96167e-16,  3.86784e+01,  3.49872e-11,  1.35296e-11,  3.22801e+03
 7.25006e-03, -3.47007e-16,  1.75655e-16, -1.44913e-16, -1.29097e-12, -5.96010e-12, -4.31859e-13, -2.39783e-08, -7.07247e-08, -1.80463e-07,  4.15641e-19, -6.82789e-19,  1.24420e-01, -1.21102e-15, -8.73828e-16,  3.93593e+01,  1.04254e-12, -2.01631e-12,  2.21169e+03
 7.50035e-03, -4.25784e-16, -8.43439e-17, -5.05888e-18, -1.54854e-12, -1.01192e-11,  5.73037e-12, -2.67146e-07,  1.26357e-07,  2.82062e-07,  2.45148e-19, -8.55251e-19,  1.34330e-01, -7.76635e-16, -9.25484e-16,  3.97827e+01, -2.48093e-11, -6.39989e-12,  1.17965e+03
 7.75009e-03, -2.15901e-16, -2.11034e-16,  2.07935e-16, -1.17864e-12, -1.91463e-12,  4.02503e-12, -1.22976e-07,  5.49263e-07,  1.57973e-07,  3.63508e-20, -1.05412e-18,  1.44292e-01, -4.80306e-16, -7.47434e-16,  3.99665e+01, -2.49142e-12, -1.23091e-11,  3.48293e+02
 8.00039e-03, -1.62742e-16, -1.51671e-16,  2.11098e-16,  8.80352e-13,  5.93036e-12, -2.50693e-12,  2.28455e-07,  1.70428e-07, -3.41447e-07, -1.65924e-19, -1.26477e-18,  1.54302e-01, -5.04353e-16, -9.14720e-16,  3.99996e+01,  2.63942e-11, -6.17176e-12,  1.17469e+01
 8.25013e-03, -4.44998e-17,  7.24517e-17,  1.32275e-17,  1.05371e-12,  4.27154e-12, -8.60967e-12, -5.71991e-08,  5.53879e-08, -1.92313e-07, -3.51136e-19, -1.48466e-18,  1.64291e-01, -9.07582e-16, -9.73596e-16,  4.00000e+01,  6.18397e-12, -1.29115e-11,  0.00000e+00
 8.50043e-03, -4.05885e-17,  1.62830e-16, -1.66765e-16, -4.94425e-13, -3.29428e-12, -4.38642e-12, -5.87153e-08,  3.22549e-08, -1.15874e-08, -5.06847e-19, -1.70541e-18,  1.74303e-01, -1.03364e-15, -7.11703e-16,  4.00000e+01, -5.74449e-12, -1.49835e-11,  0.00000e+00
 8.75017e-03,  1.04989e-17,  4.81516e-17, -2.22913e-16, -1.49712e-12, -6.33420e-12,  2.48085e-12,  4.90346e-08,  1.01131e-07,  2.88479e-07, -6.46173e-19, -1.92706e-18,  1.84293e-01, -4.17093e-16, -6.06382e-16,  4.00000e+01, -1.28354e-11,  5.43942e-12,  0.00000e+00
 9.00020e-03, -1.13334e-16, -1.60671e-16, -5.50519e-17, -5.87142e-14, -5.09229e-12,  8.73806e-12,  2.01488e-07,  1.80960e-07, -2.64321e-08, -7.54001e-19, -2.12749e-18,  1.94294e-01, -1.76467e-17, -8.83233e-16,  4.00000e+01,  1.35510e-12, -7.13687e-12,  0.00000e+00
 9.25032e-03,  5.70178e-18, -1.58202e-16,  3.00760e-16,  7.37133e-12, -1.45971e-12,  6.76491e-12,  1.02029e-07,  1.29193e-07, -3.11638e-07, -8.29961e-19, -2.30578e-18,  2.04299e-01, -2.44505e-17, -9.93584e-16,  4.00000e+01,  2.23513e-11,  9.55932e-12,  0.00000e+00
 9.50051e-03,  1.42050e-16, -9.17717e-17,  3.36354e-16, -5.19774e-13, -6.06550e-13, -4.48126e-12, -4.52551e-07,  1.90856e-07, -2.24006e-07, -8.51187e-19, -2.47260e-18,  2.14307e-01, -2.74296e-16, -7.66376e-16,  4.00000e+01,  2.42509e-11, -1.57412e-11,  0.00000e+00
 9.75017e-03,  1.70768e-16, -1.88746e-16,  1.61977e-16, -9.78544e-12, -1.20706e-12, -9.28787e-12,  7.02714e-09,  3.59944e-07, -1.48266e-08, -8.25213e-19, -2.64994e-18,  2.24293e-01, -2.81761e-16, -3.98791e-16,  4.00000e+01,  1.31249e-11, -9.98070e-12,  0.00000e+00
 1.00001e-02, -2.36025e-16, -1.26211e-16, -1.91711e-16, -7.52261e-12,  4.95250e-12, -8.17432e-12,  3.48475e-07,  1.09285e-07,  3.48674e-07, -7.56192e-19, -2.81956e-18,  2.34292e-01,  2.34855e-16, -4.84737e-16,  4.00000e+01, -9.49260e-12,  8.61877e-12,  0.00000e+00
 1.02504e-02, -4.45108e-16,  8.09545e-18, -4.36575e-16,  1.40219e-13,  7.32878e-12,  1.38204e-12,  4.81861e-06, -8.52270e-08,  5.77885e-07, -6.44865e-19, -2.98059e-18,  2.44302e-01,  7.30838e-16, -7.44619e-16,  4.00000e+01, -1.04990e-11,  2.25753e-12,  0.00000e+00
 1.05004e-02, -1.90617e-16,  2.05479e-16, -6.30718e-17,  5.28851e-12,  4.83474e-12,  1.20538e-11,  6.43289e-08, -2.71117e-07, -9.48733e-08, -4.98828e-19, -3.13182e-18,  2.54301e-01,  1.03577e-15, -1.01882e-15,  4.00000e+01,  7.95000e-12, -1.42309e-11,  0.00000e+00
 1.07503e-02, -7.54066e-17,  1.94334e-16,  1.56257e-16,  1.49662e-12, -4.16253e-12, -5.87037e-12, -2.45884e-07, -3.36722e-07, -1.28638e-06, -3.05714e-19, -3.29901e-18,  2.64297e-01,  8.54079e-16, -4.72561e-16,  4.00000e+01,  1.53727e-11, -2.37919e-11,  0.00000e+00
 1.10004e-02, -1.87308e-17,  2.18854e-17, -1.38804e-16,  7.88094e-13, -6.86241e-12, -1.07470e-11, -1.88742e-07,  4.12895e-09, -1.23642e-07, -6.03839e-20, -3.49292e-18,  2.74304e-01,  8.71077e-16, -2.95956e-16,  4.00000e+01,  6.90850e-12,  2.24416e-12,  0.00000e+00
 1.12503e-02,  7.55653e-17, -2.44826e-16, -1.86725e-16,  2.87752e-13, -1.19453e-12, -7.47975e-12, -1.92605e-07,  2.10787e-07,  4.08645e-07,  2.24315e-19, -3.69875e-18,  2.84298e-01,  9.03127e-16, -7.43187e-16,  4.00000e+01,  2.19014e-12,  1.34087e-11,  0.00000e+00
 1.15000e-02, -3.69363e-19, -2.73641e-16,  7.42980e-18, -5.14743e-12,  4.59684e-12,  4.42452e-12, -7.19950e-08, -8.48751e-08, -3.03748e-07,  5.51517e-19, -3.91930e-18,  2.94287e-01,  1.39770e-15, -1.23336e-15,  4.00000e+01, -1.21137e-11,  1.34665e-11,  0.00000e+00
 1.17501e-02, -2.97825e-16, -5.18497e-17,  1.97490e-16, -6.54085e-12,  5.41972e-12,  1.34866e-11,  3.50693e-08,  2.21324e-10, -5.73297e-07,  9.18712e-19, -4.14513e-18,  3.04290e-01,  1.99253e-15, -1.25079e-15,  4.00000e+01, -2.70674e-13, -2.00399e-11,  0.00000e+00
 1.20000e-02, -2.71952e-16,  2.02716e-16,  4.24339e-16,  6.13058e-12,  3.34997e-12, -6.64268e-12,  2.05371e-07, -2.79598e-07,  5.69676e-07,  1.32639e-18, -4.40298e-18,  3.14288e-01,  1.77803e-15, -8.53108e-16,  4.00000e+01,  1.89279e-11, -2.54604e-11,  0.00000e+00
 1.22500e-02,  1.68640e-16,  1.55377e-16,  8.83069e-17,  1.22611e-11, -1.56297e-12, -4.43625e-12, -3.94115e-08, -2.33347e-07,  6.88092e-07,  1.78662e-18, -4.66977e-18,  3.24288e-01,  1.37042e-15, -5.64821e-16,  4.00000e+01,  4.69200e-12, -4.95943e-12,  0.00000e+00
 1.25004e-02,  3.99708e-16, -3.42081e-18,  1.24647e-16,  1.64440e-12, -6.52576e-12,  8.84427e-12, -5.36970e-07, -2.25206e-07,  2.77891e-07,  2.26827e-18, -4.90547e-18,  3.34302e-01,  1.37381e-15, -6.26063e-16,  4.00000e+01, -4.18512e-11,  2.65353e-11,  0.00000e+00
 1.27502e-02,  2.57068e-17, -2.69464e-16,  4.51979e-16, -9.10543e-12, -4.00058e-12,  3.75737e-12, -5.68454e-08,  2.69969e-07, -3.92316e-06,  2.73825e-18, -5.05261e-18,  3.44295e-01,  1.98137e-15, -8.39869e-16,  4.00000e+01, -2.85648e-11,  1.54499e-11,  0.00000e+00
 1.30004e-02, -2.99566e-16, -2.84796e-16,  3.43333e-16, -7.29829e-12,  4.84765e-12, -3.43487e-12,  1.08951e-07,  1.30345e-07, -1.33843e-07,  3.20483e-18, -5.08094e-18,  3.54301e-01,  2.37397e-15, -4.17219e-16,  4.00000e+01, -5.45118e-12, -3.57859e-12,  0.00000e+00
 1.32504e-02, -1.77123e-16, -7.28340e-17,  2.10822e-16,  4.89215e-12,  8.89732e-12,  2.14985e-12,  2.49920e-07,  1.00872e-07,  1.12899e-07,  3.66323e-18, -4.97146e-18,  3.64302e-01,  1.95694e-15,  7.06391e-16,  4.00000e+01,  1.10090e-11, -2.75943e-11,  0.00000e+00
 1.35004e-02,  1.78179e-16,  2.32143e-16,  4.41143e-16,  8.23661e-12,  6.36304e-12, -1.36827e-12, -3.15887e-08, -5.76129e-07,  1.12205e-06,  4.11734e-18, -4.71630e-18,  3.74304e-01,  1.31137e-15,  1.78240e-15,  4.00000e+01, -1.77603e-11, -8.12413e-12,  0.00000e+00
 1.37501e-02,  3.03519e-16,  4.42483e-16,  3.19127e-16,  1.24203e-12, -2.22063e-12,  2.46017e-12, -2.70028e-07, -1.46247e-06,  3.52775e-07,  4.55628e-18, -4.30677e-18,  3.84292e-01,  1.37273e-15,  1.91196e-15,  4.00000e+01, -1.85080e-11,  1.59784e-11,  0.00000e+00
 1.40003e-02,  2.10797e-16,  1.36710e-16,  4.03663e-16, -2.33627e-12, -8.40111e-12,  9.24424e-13, -7.41036e-08,  3.88255e-07,  6.48463e-08,  4.99181e-18, -3.75953e-18,  3.94300e-01,  1.69688e-15,  1.94062e-15,  4.00000e+01, -1.52451e-11,  1.54602e-11,  0.00000e+00
 1.42501e-02, -1.22400e-17, -1.07611e-16,  3.92853e-16,  1.51737e-12, -3.44117e-12, -5.47797e-13,  1.78769e-07,  3.61068e-07, -1.99944e-07,  5.40481e-18, -3.13998e-18,  4.04288e-01,  1.91633e-15,  2.14874e-15,  4.00000e+01, -3.96199e-12, -1.46487e-11,  0.00000e+00
 1.45005e-02, -1.01546e-17, -6.06686e-17,  2.75480e-16,  6.53237e-12,  5.74913e-12, -2.48655e-12, -8.75841e-08,  1.90441e-08,  2.16769e-07,  5.81936e-18, -2.51845e-18,  4.14305e-01,  1.82586e-15,  2.79345e-15,  4.00000e+01,  1.70538e-11, -2.32592e-11,  0.00000e+00
 1.47500e-02,  4.46425e-18,  9.21683e-17,  1.32679e-16,  4.35931e-12,  5.65707e-12, -3.03341e-13, -1.47685e-07,  1.06513e-07,  2.44544e-07,  6.26599e-18, -1.95474e-18,  4.24286e-01,  1.38416e-15,  2.76516e-15,  4.00000e+01, -8.05093e-12, -2.69196e-12,  0.00000e+00
 1.50004e-02, -1.42244e-18,  1.40344e-16,  1.87830e-16,  7.38163e-13,  3.33999e-12,  5.47632e-12, -1.13501e-07,  1.97460e-07,  9.29103e-08,  6.72479e-18, -1.46353e-18,  4.34303e-01,  1.65082e-15,  1.40938e-15,  4.00000e+01, -3.99999e-11,  3.64723e-11,  0.00000e+00
 1.52500e-02,  2.17865e-17,  2.42002e-16,  2.78640e-16,  1.66011e-12, -4.98077e-13,  4.75321e-12, -1.90311e-07, -2.59138e-07, -6.22491e-08,  7.13821e-18, -1.07984e-18,  4.44286e-01,  2.56646e-15,  4.95447e-16,  4.00000e+01, -6.45194e-12,  8.54287e-12,  0.00000e+00
