% Sierra SPYHIS Output Mon Dec 23 11:58:25 2024
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
        TIME, displx_rigidSkull, disply_rigidSkull, displz_rigidSkull, velx_rigidSkull, vely_rigidSkull, velz_rigidSkull, ax_rigidSkull, ay_rigidSkull, az_rigidSkull, rotdx_rigidSkull, rotdy_rigidSkull, rotdz_rigidSkull, rotvx_rigidSkull, rotvy_rigidSkull, rotvz_rigidSkull, rotax_rigidSkull, rotay_rigidSkull, rotaz_rigidSkull
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 2.50337e-04,  3.45756e-26,  7.16610e-27, -1.19349e-26,  1.57415e-21,  2.91080e-22, -1.92391e-21,  4.78441e-17,  2.55168e-17, -2.65136e-16,  1.75069e-28, -6.74737e-28,  2.24903e-09,  1.72441e-24, -1.46081e-23,  1.04332e-04,  5.26888e-43,  4.47348e-18,  4.29067e+00
 5.00674e-04,  1.88915e-19, -1.12669e-19,  7.87381e-20,  2.19747e-14, -1.52040e-14, -5.40018e-15,  1.67698e-09, -4.07645e-09, -2.65948e-09, -6.04751e-22,  4.66946e-22,  1.52710e-06,  3.93916e-17,  2.38034e-16,  2.26322e-02,  1.15463e-10, -2.69544e-11,  2.65999e+02
 7.50126e-04,  5.21779e-18, -2.45380e-17, -7.88718e-18,  1.28232e-13, -5.20837e-13, -7.63099e-15,  4.95416e-08, -9.93417e-08,  5.15184e-09, -1.48420e-20,  1.18016e-21,  2.24716e-05, -3.39849e-16, -1.58556e-16,  1.77313e-01, -1.23032e-09,  9.40845e-10,  1.04412e+03
 1.00046e-03,  7.02928e-18, -4.04784e-17, -3.83226e-18,  2.06421e-13,  3.00874e-13,  1.66212e-13,  5.05570e-08, -6.50346e-09,  1.34593e-08, -6.98584e-20,  2.23062e-20,  1.10079e-04,  1.33229e-16, -3.01757e-15,  5.63942e-01,  1.75838e-09,  7.33518e-10,  2.06425e+03
 1.25080e-03,  3.74886e-17, -8.21775e-17, -3.21987e-17,  1.61278e-13,  7.77887e-13, -8.38657e-14,  2.88709e-08, -1.31545e-08, -8.53371e-09, -1.33633e-19,  4.38174e-20,  3.27037e-04, -9.33875e-16, -3.72384e-15,  1.21010e+00,  1.28581e-11, -1.68282e-09,  3.09215e+03
 1.50023e-03,  2.22570e-17, -9.67087e-17,  2.52770e-18,  1.84097e-13,  4.86627e-13,  1.11834e-12,  5.31249e-08,  2.37387e-08, -1.03060e-07, -2.00449e-19,  1.64215e-20,  7.35411e-04,  2.54983e-15,  2.81359e-15,  2.10008e+00,  7.28136e-10,  1.93052e-09,  4.02875e+03
 1.75052e-03, -2.62075e-17, -6.29074e-17,  3.26256e-17, -2.43191e-13,  1.12311e-13, -2.54845e-13,  4.28197e-08,  4.50844e-09, -6.22891e-08, -2.58208e-19,  1.11596e-19,  1.39656e-03, -6.93781e-16, -3.01483e-15,  3.21344e+00, -7.44217e-10, -6.27499e-10,  4.85091e+03
 2.00073e-03, -3.09020e-18, -4.31570e-17, -1.30316e-17, -1.64846e-13,  1.08789e-12, -1.32184e-13, -3.73661e-08,  3.53685e-10,  8.68486e-08, -3.51685e-19,  1.43833e-19,  2.36062e-03,  3.61776e-16, -2.81352e-15,  4.51725e+00,  5.20383e-10,  7.67578e-10,  5.55394e+03
 2.25082e-03, -1.68823e-17, -4.59765e-17, -2.58097e-18, -5.72878e-13,  1.61274e-12,  3.42752e-13, -5.19567e-08, -6.32537e-08, -4.06330e-08, -4.15526e-19,  2.13104e-19,  3.67113e-03,  2.53084e-15,  2.27360e-15,  5.98232e+00, -4.22756e-11,  2.16851e-11,  6.14658e+03
 2.50076e-03,  8.38883e-19, -7.42655e-17,  2.75072e-17, -5.18697e-13,  3.08684e-13,  1.24847e-12,  5.42010e-08, -1.76500e-08, -5.37389e-08, -5.09120e-19,  2.89868e-19,  5.36436e-03,  3.89269e-15,  5.08522e-16,  7.58192e+00, -6.42432e-10, -1.15763e-09,  6.63956e+03
 2.75041e-03,  4.00109e-17, -1.28375e-16,  5.81705e-17, -3.31118e-13, -6.83331e-13, -1.00030e-12,  3.30531e-08,  6.86133e-09, -7.80232e-09, -6.59120e-19,  3.33828e-19,  7.46922e-03, -1.01020e-15,  4.24464e-15,  9.29145e+00,  4.46406e-10, -1.48639e-10,  7.04347e+03
 3.00045e-03, -2.22084e-17, -1.26614e-16,  2.09865e-17, -1.27135e-12, -6.87836e-13, -1.92449e-12, -2.88925e-08,  2.58491e-08,  4.69252e-08, -8.43879e-19,  3.40310e-19,  1.00170e-02,  4.73655e-15,  3.04410e-16,  1.10946e+01,  1.28854e-09, -7.69131e-10,  7.36800e+03
 3.25068e-03, -5.38332e-17, -1.57914e-16, -6.41458e-17, -2.40123e-12, -2.11522e-13, -1.38716e-12,  1.03896e-08,  7.73225e-08,  8.76927e-08, -1.07771e-18,  4.08292e-19,  1.30275e-02, -3.01642e-15,  4.30865e-15,  1.29712e+01,  1.33460e-09, -3.10197e-10,  7.62028e+03
 3.50008e-03, -1.09145e-16, -1.18918e-16, -1.06014e-16, -9.01104e-13,  1.14450e-12, -4.07073e-13,  1.54946e-07, -4.87032e-08,  6.33778e-08, -1.20628e-18,  3.95782e-19,  1.65024e-02, -2.43961e-16,  1.51354e-15,  1.48960e+01,  1.28893e-09, -1.54336e-09,  7.80510e+03
 3.75026e-03, -8.75326e-17, -9.46760e-17, -7.44272e-17,  1.14188e-12,  2.53380e-13,  1.02250e-13,  3.44902e-08, -4.11663e-08,  8.78104e-08, -1.34877e-18,  3.66429e-19,  2.04756e-02,  2.69917e-16,  2.98973e-15,  1.68653e+01,  8.26750e-10, -1.57880e-09,  7.92786e+03
 4.00005e-03, -9.92971e-17, -5.14649e-17, -2.17478e-17,  1.22167e-12,  1.45758e-12,  1.22864e-12,  4.22959e-09, -2.30941e-08,  2.66268e-08, -1.49660e-18,  2.66791e-19,  2.49375e-02,  1.18354e-15,  2.36384e-15,  1.88547e+01,  9.78946e-10,  6.86769e-10,  7.99049e+03
 4.25047e-03, -1.12995e-16,  9.10791e-18, -2.26224e-17,  2.21919e-12,  1.81778e-12,  6.31256e-13,  2.27349e-08, -3.61277e-08, -1.42626e-08, -1.62933e-18,  2.73327e-19,  2.99107e-02,  3.84171e-15,  6.09239e-16,  2.08574e+01, -1.74732e-10,  4.64739e-10,  7.99464e+03
 4.50003e-03,  2.96384e-17,  4.38230e-17, -1.99058e-17,  2.58281e-12,  1.11713e-12, -1.00915e-12,  1.60513e-08, -9.56740e-08, -7.15915e-09, -1.71111e-18,  2.29140e-19,  3.53652e-02, -4.07677e-15,  2.69878e-15,  2.28470e+01, -9.70991e-11,  1.77239e-09,  7.94029e+03
 4.75072e-03,  4.64655e-17,  2.74502e-17, -8.75780e-17,  7.61582e-13, -1.67247e-12,  4.08090e-13, -1.13117e-07, -2.92748e-08,  5.85804e-08, -1.79152e-18,  1.87143e-19,  4.13422e-02,  8.40523e-16,  4.37552e-16,  2.48246e+01,  1.08146e-09,  2.89675e-10,  7.82602e+03
 5.00038e-03, -2.65135e-17, -3.46775e-17, -7.79869e-17, -1.97630e-12, -1.55735e-12, -1.04668e-13, -6.95966e-08,  6.58306e-08,  4.17313e-08, -1.71780e-18,  2.49564e-19,  4.77827e-02,  1.22683e-15, -8.16386e-17,  2.67579e+01, -2.72612e-10,  9.92999e-10,  7.64980e+03
 5.25024e-03, -8.28095e-17, -8.27641e-18, -5.78400e-17, -1.26762e-12,  7.20281e-14,  9.84417e-13, -4.92216e-08,  5.11431e-08,  1.31430e-09, -1.62128e-18,  3.65748e-19,  5.47057e-02,  3.66027e-15,  3.34524e-15,  2.86405e+01, -1.16159e-09,  1.44286e-09,  7.40744e+03
 5.50068e-03, -1.18479e-16,  5.01055e-18, -6.51045e-17, -4.13509e-13, -5.77574e-13, -4.57075e-13,  1.48029e-08, -3.70391e-08,  7.36463e-08, -1.53907e-18,  4.96662e-19,  6.21085e-02,  1.88189e-15,  7.79729e-15,  3.04581e+01, -6.29893e-10, -8.29682e-10,  7.09296e+03
 5.75051e-03, -1.21657e-16,  2.05570e-17, -1.30571e-16,  5.96669e-13, -5.86843e-13, -6.34645e-13, -1.86575e-08, -4.73654e-08,  5.49429e-08, -1.49314e-18,  4.85333e-19,  6.99361e-02,  5.79201e-16,  4.94525e-15,  3.21830e+01,  1.63653e-09,  6.08629e-11,  6.70004e+03
 6.00017e-03, -8.24574e-17, -1.12306e-18, -1.35126e-16,  1.65075e-12, -1.00306e-12, -3.74649e-13,  2.84955e-08,  8.83795e-08, -1.10789e-07, -1.38844e-18,  5.17861e-19,  7.81757e-02, -3.82700e-15,  2.08089e-15,  3.37981e+01, -7.86605e-10, -1.28508e-09,  6.22072e+03
 6.25013e-03,  4.37220e-19, -2.57168e-17, -1.56746e-16,  2.70319e-12,  8.65640e-13, -1.23576e-12,  3.33986e-08,  1.32745e-08,  9.65841e-09, -1.32629e-18,  4.63865e-19,  8.68128e-02, -7.35974e-15, -6.81263e-15,  3.52832e+01,  1.66992e-10,  1.23317e-09,  5.64294e+03
 6.50015e-03,  1.13493e-16,  4.29041e-17, -1.77369e-16,  1.73312e-12,  1.21221e-12, -7.22978e-13, -1.25079e-07,  1.52846e-08,  5.81396e-08, -1.34449e-18,  5.15118e-19,  9.58043e-02,  1.19719e-14, -2.59989e-15,  3.66108e+01, -1.16644e-09, -1.24829e-09,  4.95627e+03
