% Sierra SPYHIS Output Mon Dec 23 11:58:25 2024
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
        TIME,           u0,           u1,           u2,           u3,           u4,           u5,           u6,           u7,           u8,           u9,          u10,          u11,          u12,           e0,           e1,           e2,           e3,           e4,           e5,           e6,           e7,           e8,           e9,          e10,          e11,          e12,           d0,           d1,           d2,           d3,           d4,           d5,           d6,           d7,           d8,           d9,          d10,          d11,          d12,           ee,           ie,           ke,          hge,           se
 0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00,  0.00000e+00
 2.50337e-04,  3.72729e-26,  6.61459e-13,  1.38885e-12,  3.87718e-12,  7.54308e-12,  1.36564e-11,  2.44419e-11,  4.49429e-11,  8.54615e-11,  1.39211e-10,  1.55180e-10,  2.47394e-08,  2.47394e-08,  4.12337e-13,  5.08926e-13,  1.30940e-12,  2.98761e-12,  6.00653e-12,  1.11939e-11,  1.96034e-11,  3.16640e-11,  4.38074e-11,  9.40243e-11,  7.45662e-10,  0.00000e+00,  0.00000e+00,  2.82263e-08,  3.31016e-08,  8.06182e-08,  1.79378e-07,  3.49862e-07,  6.28046e-07,  1.06791e-06,  1.68286e-06,  2.27438e-06,  4.25503e-06,  3.24820e-05,  0.00000e+00,  0.00000e+00,  1.09157e-03,  4.13980e-06,  1.04969e-03,  6.82385e-07,  2.07729e+06
 5.00674e-04,  2.33630e-19,  1.30593e-09,  3.02160e-09,  8.50123e-09,  1.57394e-08,  2.78145e-08,  4.77763e-08,  8.05723e-08,  1.27746e-07,  1.99438e-07,  1.40685e-07,  1.67981e-05,  1.67981e-05,  8.15094e-10,  9.91331e-10,  2.66389e-09,  5.74868e-09,  1.04308e-08,  1.73203e-08,  2.74644e-08,  4.18498e-08,  5.67437e-08,  3.96761e-08,  2.70996e-07,  0.00000e+00,  0.00000e+00,  1.03256e-05,  1.45045e-05,  4.37000e-05,  9.49196e-05,  1.71727e-04,  2.84165e-04,  4.49225e-04,  6.86278e-04,  9.47119e-04,  5.61444e-04,  5.94413e-03,  0.00000e+00,  0.00000e+00,  5.12587e+01,  9.14331e-01,  4.98368e+01, -6.49857e-02,  2.07729e+06
 7.50126e-04,  2.62973e-17,  1.31650e-08,  4.46264e-08,  1.34289e-07,  2.82944e-07,  5.35502e-07,  9.50006e-07,  1.61098e-06,  2.60552e-06,  4.02258e-06,  2.12384e-06,  2.47187e-04,  2.47187e-04,  6.55880e-09,  1.52136e-08,  5.33341e-08,  1.17176e-07,  2.11866e-07,  3.49785e-07,  5.54425e-07,  8.60113e-07,  1.25578e-06,  8.93093e-07,  8.44380e-06,  0.00000e+00,  0.00000e+00,  3.66618e-05,  1.31433e-04,  4.73614e-04,  1.04167e-03,  1.88255e-03,  3.10766e-03,  4.93711e-03,  7.72626e-03,  1.16130e-02,  1.03884e-02,  7.57214e-02,  0.00000e+00,  0.00000e+00,  3.22991e+03,  9.43144e+01,  3.11998e+03, -2.94603e+01,  2.07729e+06
 1.00046e-03,  4.12625e-17,  5.20209e-08,  2.31085e-07,  7.28180e-07,  1.62573e-06,  3.16400e-06,  5.68134e-06,  9.69889e-06,  1.59505e-05,  2.49061e-05,  2.10648e-05,  1.21087e-03,  1.21087e-03,  1.90659e-08,  8.88961e-08,  3.20943e-07,  7.05411e-07,  1.27504e-06,  2.10714e-06,  3.35703e-06,  5.29577e-06,  8.15160e-06,  9.22734e-06,  4.70030e-05,  0.00000e+00,  0.00000e+00,  6.15084e-05,  5.17230e-04,  1.86343e-03,  4.09138e-03,  7.39522e-03,  1.22315e-02,  1.95448e-02,  3.11124e-02,  4.92220e-02,  6.72515e-02,  3.50776e-01,  0.00000e+00,  0.00000e+00,  3.36026e+04,  1.26091e+03,  3.22435e+04, -5.46087e+02,  2.07730e+06
 1.25080e-03,  9.58921e-17,  1.40323e-07,  7.38622e-07,  2.38685e-06,  5.47758e-06,  1.07977e-05,  1.94936e-05,  3.34070e-05,  5.53714e-05,  8.82658e-05,  1.28921e-04,  3.59741e-03,  3.59741e-03,  3.61252e-08,  3.06684e-07,  1.10456e-06,  2.42615e-06,  4.38526e-06,  7.25319e-06,  1.15928e-05,  1.84715e-05,  2.94175e-05,  3.73335e-05,  3.38908e-04,  0.00000e+00,  0.00000e+00,  7.25760e-05,  1.29854e-03,  4.64698e-03,  1.02002e-02,  1.84348e-02,  3.05050e-02,  4.88536e-02,  7.83644e-02,  1.28107e-01,  1.53318e-01,  2.51266e+00,  0.00000e+00,  0.00000e+00,  1.58868e+05,  7.01025e+03,  1.51543e+05, -3.38408e+03,  2.07735e+06
 1.50023e-03,  9.92690e-17,  3.04673e-07,  1.78550e-06,  5.85249e-06,  1.36295e-05,  2.70448e-05,  4.89484e-05,  8.39935e-05,  1.39501e-04,  2.24464e-04,  3.47946e-04,  8.08953e-03,  8.08953e-03,  5.33471e-08,  7.75099e-07,  2.77921e-06,  6.10127e-06,  1.10267e-05,  1.82411e-05,  2.91909e-05,  4.67751e-05,  7.58306e-05,  7.61950e-05,  1.34680e-03,  0.00000e+00,  0.00000e+00,  6.50966e-05,  2.53656e-03,  9.04781e-03,  1.98525e-02,  3.58726e-02,  5.93376e-02,  9.50247e-02,  1.53207e-01,  2.50564e-01,  1.77747e-01,  4.93807e+00,  0.00000e+00,  0.00000e+00,  4.90283e+05,  2.43168e+04,  4.65253e+05, -1.19684e+04,  2.07753e+06
 1.75052e-03,  7.55553e-17,  5.76119e-07,  3.62631e-06,  1.19898e-05,  2.81679e-05,  5.61041e-05,  1.01653e-04,  1.74372e-04,  2.91532e-04,  4.30690e-04,  2.36862e-04,  1.53621e-02,  1.53621e-02,  6.49842e-08,  1.61635e-06,  5.78012e-06,  1.26865e-05,  2.29246e-05,  3.79162e-05,  6.07079e-05,  9.75876e-05,  1.57795e-04,  2.00407e-04,  2.16881e-03,  0.00000e+00,  0.00000e+00,  5.31004e-05,  4.26636e-03,  1.52114e-02,  3.33817e-02,  6.03093e-02,  9.97134e-02,  1.59847e-01,  2.56577e-01,  4.10213e-01,  1.16504e+00,  4.68595e-01,  0.00000e+00,  0.00000e+00,  1.17403e+06,  6.40275e+04,  1.10869e+06, -3.02582e+04,  2.07804e+06
 2.00073e-03,  4.51873e-17,  9.86135e-07,  6.52360e-06,  2.16904e-05,  5.12447e-05,  1.02303e-04,  1.85413e-04,  3.17705e-04,  5.28723e-04,  7.65924e-04,  7.21498e-04,  2.59668e-02,  2.59668e-02,  6.36037e-08,  2.95351e-06,  1.05535e-05,  2.31648e-05,  4.18548e-05,  6.92217e-05,  1.10947e-04,  1.77490e-04,  2.93820e-04,  7.95787e-04,  7.33299e-04,  0.00000e+00,  0.00000e+00,  1.24821e-04,  6.50612e-03,  2.32411e-02,  5.10301e-02,  9.21942e-02,  1.52546e-01,  2.44692e-01,  3.89456e-01,  7.13828e-01,  3.43742e+00,  1.30215e+01,  0.00000e+00,  0.00000e+00,  2.36875e+06,  1.40738e+05,  2.22590e+06, -6.05288e+04,  2.07916e+06
